nct_id,title,condition,phase,sponsor,status,start_date,completion_date,first_posted_date,last_update_posted_date
NCT00352118,Combination Chemotherapy and Radiation Therapy in Treating Patients With Locally Advanced Head and Neck Cancer,Head and Neck Cancer,PHASE2,"Masonic Cancer Center, University of Minnesota",TERMINATED,2006-03,2008-04,2006-07-14,2017-12-28
NCT03557918,Trial of Tremelimumab in Patients With Previously Treated Metastatic Urothelial Cancer,Urothelial Carcinoma,PHASE2,Matthew Galsky,COMPLETED,2018-11-12,2023-06-07,2018-06-15,2024-07-03
NCT06196918,Efficacy and Safety of Rivaroxaban in the Prevention of Venous Thromboembolism in Glioma Patients,"Glioma, Malignant",NA,"Nanfang Hospital, Southern Medical University",UNKNOWN,2023-11-01,2025-02-28,2024-01-09,2024-01-09
NCT00408590,"Recombinant Measles Virus Vaccine Therapy and Oncolytic Virus Therapy in Treating Patients With Progressive, Recurrent, or Refractory Ovarian Epithelial Cancer or Primary Peritoneal Cancer",Ovarian Cancer,PHASE1,Mayo Clinic,COMPLETED,2004-04-19,2017-11-07,2006-12-07,2024-01-16
NCT02548390,Study of Intravenous RXDX-107 in Patients With Solid Tumors,Solid Tumor,PHASE1,Hoffmann-La Roche,TERMINATED,2015-09,2016-09,2015-09-14,2019-04-25
NCT00459290,"Mifepristone in Treating Patients With Recurrent or Persistent Ovarian Epithelial, Primary Peritoneal, or Fallopian Tube Cancer",Fallopian Tube Cancer,PHASE2,Gynecologic Oncology Group,COMPLETED,2007-05,2010-07,2007-04-11,2018-07-18
NCT02227797,MT2013-37R: Voriconazole Monitoring in Pediatric Stem Cell Transplant Patients,Fungal Infection,PHASE1,"Masonic Cancer Center, University of Minnesota",COMPLETED,2015-01-19,2019-03-01,2014-08-28,2019-04-29
NCT04336397,Stool DNA to Improve Colorectal Cancer Screening Among Alaska Native People,Colorectal Cancer,NA,Alaska Native Tribal Health Consortium,COMPLETED,2021-04-29,2024-09-15,2020-04-07,2025-11-19
NCT06441110,Multicenter Clinical Trial on the Effectiveness and Safety of Instillation of BCG and Alternative BCG Protocols for Intermediate and High-risk Non-muscle Invasive Bladder Cancer,Urinary Bladder Neoplasms,PHASE3,Fujian Medical University Union Hospital,RECRUITING,2023-06-01,2035-06-01,2024-06-04,2024-06-04
NCT02213913,Lenalidomide and Combination Chemotherapy (DA-EPOCH-R) in Treating Patients With MYC-Associated B-Cell Lymphomas,Adult Grade III Lymphomatoid Granulomatosis,PHASE1,University of Chicago,COMPLETED,2014-07-29,2024-10-29,2014-08-12,2026-03-11
NCT04127760,Efficacy of Postoperative Radiotherapy for Atypical Meningioma Without Venous Sinus Invasion After Gross-total Resection,Meningioma Atypical,NA,"Second Affiliated Hospital, Zhejiang University, School of Medicine",NOT_YET_RECRUITING,2020-01-01,2033-01-01,2019-10-16,2019-10-16
